,Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
254,Apartamento;Laranjeiras;4;1;2;288;7000;1870;582
255,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000;450;
256,Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900;688;
257,Apartamento;Leblon;2;1;0;70;4200;1100;200
258,Apartamento;Cidade Nova;1;0;0;46;1000;;
259,Apartamento;Pilares;3;0;0;65;1200;350;16
260,Loja/Salão;Barra da Tijuca;0;1;0;50;1100;1338;
261,Apartamento;Barra da Tijuca;3;3;2;169;6500;1886;450
262,Quitinete;Copacabana;1;0;0;23;1000;562;
263,Apartamento;Laranjeiras;3;1;1;90;2400;1311;
264,Apartamento;Tijuca;2;0;0;50;1800;347;25
265,Apartamento;Olaria;1;0;0;39;800;;
266,Apartamento;Ipanema;3;1;1;140;6500;1800;506
267,Apartamento;Campo Grande;2;0;0;60;800;380;
268,Apartamento;Ipanema;4;1;1;170;12000;1210;4222
269,Casa;Tijuca;4;1;1;191;4000;300;
270,Apartamento;Centro;1;0;0;35;1350;420;24
271,Apartamento;Tijuca;2;0;0;63;1400;440;61
272,Casa de Condomínio;São Conrado;3;2;1;250;5500;750;500
273,Apartamento;Copacabana;3;1;0;112;3800;1123;286
274,Loja/Salão;Barra da Tijuca;0;8;0;500;38000;;4971
275,Apartamento;Leblon;3;0;1;85;8500;;1719
276,Apartamento;Tijuca;3;1;0;129;1800;850;116
277,Apartamento;Barra da Tijuca;4;3;3;160;8600;2300;250
278,Conjunto Comercial/Sala;Centro;0;0;0;100;2800;1500;490
279,Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400;1300;
280,Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800;650;95
281,Apartamento;Barra da Tijuca;1;1;1;60;2200;1600;350
282,Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;129600;60480;
283,Apartamento;Taquara;2;2;0;55;790;350;
284,Quitinete;Centro;1;0;0;33;990;463;25
285,Apartamento;Copacabana;2;0;0;54;1800;590;
286,Conjunto Comercial/Sala;Centro;0;10;0;1136;136370;22728;5682
287,Casa Comercial;Glória;0;0;0;139;16740;1953;139
288,Flat;Arpoador;1;1;1;55;3000;1865;337
289,Apartamento;Catete;2;1;1;70;3300;1365;180
290,Apartamento;Copacabana;5;1;3;390;10000;1000;1000
291,Apartamento;Maracanã;2;1;0;53;1300;492;16
292,Apartamento;Tomás Coelho;2;0;0;70;800;;
293,Apartamento;Botafogo;1;0;0;35;1000;293;86
294,Apartamento;Tijuca;3;1;0;164;3500;1310;257
295,Apartamento;Jacarepaguá;2;1;1;60;1200;524;13
296,Apartamento;Água Santa;2;1;0;50;850;280;12
297,Apartamento;Botafogo;2;1;1;79;4315;1110;187
298,Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600;615;3
299,Apartamento;Tijuca;1;0;0;36;1300;295;24
300,Apartamento;Jardim Oceânico;4;4;3;190;5700;1069;808
301,Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500;900;
302,Apartamento;São Cristóvão;2;0;0;50;1000;600;
303,Quitinete;Copacabana;1;0;0;26;1400;370;21
304,Loja/Salão;Recreio dos Bandeirantes;0;2;0;140;3990;1410;968
305,Prédio Inteiro;Campo Grande;0;0;0;650;35000;;
306,Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000;2695;23715
307,Conjunto Comercial/Sala;Centro;0;0;0;120;3000;1380;507
308,Apartamento;Ilha do Governador;3;1;0;83;1500;440;132
309,Apartamento;Olaria;2;0;0;90;1000;150;
310,Apartamento;Humaitá;1;0;0;57;3990;860;100
311,Apartamento;Maracanã;3;1;0;95;2500;600;80
312,Casa de Vila;Jardim Sulacap;2;1;2;115;1600;1;60
313,Apartamento;Leblon;4;2;2;200;11000;2900;580
314,Loja/Salão;Del Castilho;0;0;0;85;6500;;398
315,Apartamento;Barra da Tijuca;2;1;1;63;1900;824;
316,Apartamento;Gávea;2;1;1;100;3900;1300;320
317,Apartamento;Ipanema;3;2;1;165;7500;2200;532
318,Galpão/Depósito/Armazém;Santo Cristo;0;0;0;1096;12000;;1771
319,Conjunto Comercial/Sala;Centro;0;0;0;145;3800;1400;413
320,Apartamento;Ipanema;3;2;2;160;6000;3500;4600
321,Conjunto Comercial/Sala;Flamengo;0;0;0;32;1300;400;
322,Apartamento;Flamengo;1;1;0;48;2100;580;70
323,Apartamento;Leblon;2;1;1;87;4800;1300;361
324,Casa de Vila;Oswaldo Cruz;1;0;1;40;800;;
325,Apartamento;Barra da Tijuca;3;1;1;105;2500;1400;1500
326,Galpão/Depósito/Armazém;Bonsucesso;0;3;0;404;15000;;370
327,Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800;92;46
328,Conjunto Comercial/Sala;Centro;0;0;0;87;3000;764;134
329,Quitinete;Copacabana;1;0;0;30;1300;370;30
330,Conjunto Comercial/Sala;Barra da Tijuca;0;9;0;190;10000;5503;1250
331,Conjunto Comercial/Sala;Leblon;0;0;0;6;900;;
332,Apartamento;Barra da Tijuca;3;1;1;80;3500;1410;270
333,Conjunto Comercial/Sala;Centro;0;0;0;375;18750;6340;2349
334,Apartamento;Botafogo;3;1;1;102;5100;1300;
335,Apartamento;Gávea;3;0;1;120;2700;880;238
336,Apartamento;Humaitá;2;2;1;112;4500;1300;
337,Conjunto Comercial/Sala;Centro;0;0;0;34;1000;729;
338,Conjunto Comercial/Sala;Centro;0;0;0;48;4500;885;380
339,Apartamento;Vila da Penha;2;0;0;60;900;160;25
340,Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;80;5000;1100;3000
341,Apartamento;Lagoa;1;1;0;75;2800;800;210
342,Apartamento;Ipanema;3;1;1;125;7000;2100;463
343,Conjunto Comercial/Sala;Leblon;0;0;0;120;20000;2400;616
344,Prédio Inteiro;São Cristóvão;0;0;0;1408;24000;;
345,Apartamento;Engenho Novo;2;0;0;53;1400;460;12
346,Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800;879;
347,Loft;Barra da Tijuca;1;1;1;78;2700;1370;188
348,Apartamento;Barra da Tijuca;2;2;1;86;3500;1307;
349,Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700;690;150
350,Galpão/Depósito/Armazém;Campo Grande;0;3;0;300;6000;;
351,Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600;1177;320
352,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;900;500;
353,Galpão/Depósito/Armazém;Campo Grande;0;0;0;1000;8000;;
354,Apartamento;Barra da Tijuca;2;1;1;77;2500;830;156
355,Apartamento;Engenho Novo;1;1;0;63;700;625;36
356,Conjunto Comercial/Sala;Centro;0;0;0;22;800;264;83
357,Casa;Grajaú;5;4;2;450;7000;;500
358,Apartamento;Barra da Tijuca;4;2;2;149;4500;2130;
359,Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500;780;248
360,Conjunto Comercial/Sala;Botafogo;0;10;0;534;45000;14850;
361,Apartamento;Anil;2;1;0;48;1100;400;
362,Apartamento;Ipanema;4;1;2;250;12000;2300;1050
363,Apartamento;Gávea;2;1;1;68;2700;850;186
364,Apartamento;Barra da Tijuca;2;1;1;75;1400;1280;
365,Loja/Salão;Vila Valqueire;0;0;0;30;1100;;
366,Apartamento;Ipanema;2;1;1;97;7000;4000;4725
367,Casa de Condomínio;Vargem Grande;2;2;1;90;1700;618;338
368,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;72;2200;835;595
369,Apartamento;Cachambi;3;0;0;70;900;200;30
370,Quitinete;Leblon;1;0;0;30;1700;560;62
371,Apartamento;Copacabana;4;2;1;279;3150;2025;370
372,Casa;Tanque;2;1;0;59;1200;170;
373,Box/Garagem;Centro;0;1;0;0;250;;85
374,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;50;1600;870;406
375,Apartamento;Laranjeiras;5;3;2;713;30000;3800;
376,Conjunto Comercial/Sala;Botafogo;0;28;0;1510;211400;50902;8138
377,Apartamento;Cachambi;2;1;0;70;950;530;30
378,Casa;Campo Grande;3;0;0;200;2100;;
379,Conjunto Comercial/Sala;Centro;0;0;0;254;10000;5600;
380,Conjunto Comercial/Sala;Centro;0;0;0;24;600;386;119
381,Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500;800;500
382,Conjunto Comercial/Sala;Centro;0;0;0;250;8000;4790;1160
383,Conjunto Comercial/Sala;Del Castilho;0;1;0;29;1200;760;
384,Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800;884;170
385,Apartamento;Maracanã;1;1;1;120;1000;985;150
386,Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500;1080;423
387,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;750;399;52
388,Apartamento;Tijuca;2;1;1;70;1500;890;68
389,Conjunto Comercial/Sala;Santo Cristo;0;0;0;175;5250;1750;
390,Casa de Condomínio;Barra da Tijuca;5;6;5;640;13800;980;1800
391,Apartamento;Vaz Lobo;2;0;0;70;1000;32;
392,Conjunto Comercial/Sala;Tijuca;0;0;0;150;7200;1700;481
393,Conjunto Comercial/Sala;Centro;0;0;0;219;23000;5938;1303
394,Conjunto Comercial/Sala;Centro;0;0;0;322;8500;4315;81
395,Conjunto Comercial/Sala;São Cristóvão;1;1;0;25;800;427;471
396,Apartamento;Madureira;2;0;0;40;600;415;
397,Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700;659;
398,Apartamento;Copacabana;2;1;1;81;2900;893;190
399,Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;350;16500;6030;3980
400,Casa;Bonsucesso;2;0;0;51;1000;;
401,Casa de Condomínio;Barra da Tijuca;5;3;5;1000;20000;1800;1800
402,Apartamento;Campo Grande;2;0;1;58;1000;;
403,Flat;Humaitá;1;1;0;55;2000;1232;176
404,Conjunto Comercial/Sala;Centro;0;0;0;360;9000;2968;1208
405,Apartamento;Praça Seca;3;0;0;90;900;330;15
406,Apartamento;Vila Isabel;3;3;1;124;1700;1400;
407,Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000;899;750
408,Loja/Salão;Barra da Tijuca;0;0;0;210;55000;;3000
409,Apartamento;Ipanema;2;0;1;75;5200;476;120
410,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;34;1600;732;141
411,Apartamento;São Conrado;5;2;3;400;13000;4165;689
412,Loja/Salão;Recreio dos Bandeirantes;0;1;0;54;1500;364;173
413,Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500;1000;150
414,Apartamento;Laranjeiras;2;1;1;70;2300;620;190
415,Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900;1300;198
416,Apartamento;Barra da Tijuca;4;3;4;192;5000;2200;562
417,Conjunto Comercial/Sala;Centro;0;18;0;1141;79855;22302;2977
418,Apartamento;Copacabana;1;0;0;43;1600;452;242
